threshold,layer,kv_head,action,selected_budget,budget_fraction,quality,direct_val_r2,fitv_val_r2,reason
0.945,24,1,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4,10:5 and candidate 12:7 at 50% per-head budget."
0.945,24,2,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4,10:5 and candidate 12:7 at 50% per-head budget."
0.945,24,3,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4,10:5 and candidate 12:7 at 50% per-head budget."
0.945,24,4,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4,10:5 and candidate 12:7 at 50% per-head budget."
0.945,24,5,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4,10:5 and candidate 12:7 at 50% per-head budget."
0.945,24,6,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4,10:5 and candidate 12:7 at 50% per-head budget."
0.945,24,7,compact,768,0.5,0,,,"Layer24 safe seed plus 10:3,8:1,20:2,12:4,10:5 and candidate 12:7 at 50% per-head budget."
0.945,25,0,full,1536,1,1,,,not_target_layer
0.945,25,1,full,1536,1,1,,,not_target_layer
0.945,25,2,full,1536,1,1,,,not_target_layer
0.945,25,3,full,1536,1,1,,,not_target_layer
0.945,25,4,full,1536,1,1,,,not_target_layer
0.945,25,5,full,1536,1,1,,,not_target_layer
0.945,25,6,full,1536,1,1,,,not_target_layer
0.945,25,7,full,1536,1,1,,,not_target_layer
0.945,26,0,full,1536,1,1,,,not_target_layer
0.945,26,1,full,1536,1,1,,,not_target_layer
0.945,26,2,full,1536,1,1,,,not_target_layer
0.945,26,3,full,1536,1,1,,,not_target_layer
0.945,26,4,full,1536,1,1,,,not_target_layer
0.945,26,5,full,1536,1,1,,,not_target_layer
0.945,26,6,full,1536,1,1,,,not_target_layer
0.945,26,7,full,1536,1,1,,,not_target_layer
0.945,27,0,full,1536,1,1,,,not_target_layer
0.945,27,1,full,1536,1,1,,,not_target_layer
0.945,27,2,full,1536,1,1,,,not_target_layer
0.945,27,3,full,1536,1,1,,,not_target_layer
0.945,27,4,full,1536,1,1,,,not_target_layer
0.945,27,5,full,1536,1,1,,,not_target_layer
0.945,27,6,full,1536,1,1,,,not_target_layer
0.945,27,7,full,1536,1,1,,,not_target_layer
